name,BuildCost,isBuilding,factionName,spritePath,isbuildable,maxHP,requiredDigit,digitItGives,upgrade_enabled,upgrade_target,upgrade_botSurcharge,upgrade_isGoalKills,upgrade_killsNeeded,,,,move_enabled,move_rangeMin,move_rangeMax,move_damage,move_botSurcharge,,,,captureVP_enabled,captureVP_botSurcharge,,,,,,,coreDamage_enabled,coreDamage_damage,coreDamage_botSurcharge,,,,,,shoot_enabled,shoot_rangeMin,shoot_rangeMax,shoot_damage,shoot_botSurcharge,,,,push_enabled,push_IsTargetsBuildings,push_isTargetsSoldiers,push_rangeMax,push_pushAmount,push_isPull,push_isFriendlyFire,push_damage,eat_enabled,eat_amount,,,,,,,groupBuild_enabled,groupBuild_target,groupBuild_requireNumber,groupBuild_deletion,groupBuild_botSurcharge,,,,launcher_enabled,launcher_inputRange,launcher_outputRange,launcher_isfriendlyFire,launcher_isEnemyFire,launcher_botSurcharge,,,conversionFactory_enabled,conversionFactory_isCoreHealth,conversionFactory_isVp,conversionFactory_amount,conversionFactory_botSurcharge,,,,spawn_enabled,spawn_pieceAmount,spawn_targetType,spawn_range,spawn_isOnlyOncePerTurn,spawn_botSurcharge,,,sacrificeFactory_enabled,sacrificeFactory_amount,sacrificeFactory_rangeMin,sacrificeFactory_rangeMax,sacrificeFactory_botSurcharge,,,,connectors_enabled,connector_needsCapital,connector_isCapital,connector_capitalHealth,connector_allowedMasks,,,,factory_enabled,factory_amount,factory_isRoundMultiplier,,,,,,groupFactory_enabled,groupFactory_require,groupFactory_payout,groupFactory_isRoundMultiplier,,,,,Instantfactory_enabled,Instantfactory_payout,Instantfactory_isKillPenalty,Instantfactory_killsNeeded,Instantfactory_killsPunishment,,,,sanctuary_enabled,sanctuary_range,,,,,,,sacrificeCost_enabled,sacrificeCost_isNeedsSpecificPiece,sacrificeCost_specificPiece,sacrificeCost_howManyItNeeds,,,,,feedingGround_enabled,feedingGround_Range,feedingGround_payOut,,,,,,explosive_enabled,explosive_isFriendlyFire,explosive_isKillItself,explosive_damage,explosive_range,,,,sniper_enabled,sniper_minRange,sniper_damage,sniper_maxRange,sniper_isonlySoldiers,sniper_isLineOfSight,sniper_isFriendlyFire,sniper_lineLength,zombie_enabled,,,,,,,workYard_enabled,workYard_range,workYard_botSurcharge,,,,,,hop_enabled,hop_damage,,,,,,,necroSpawn_enabled,necroSpawn_range,necroSpawn_botSurcharge
Farm,1,TRUE,,wheat,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,,,,,,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froggy Town Hall,5,TRUE,Frog,FroggyVillage,TRUE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villiage - Frog,5,TRUE,Frog,FroggyFactory,TRUE,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,0,1,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frog,1,FALSE,Frog,FR,TRUE,1,1,,,,,,,,,,TRUE,1,1,1,,,,,TRUE,,,,,,,,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,1,,,,,,,,,
Bear Town Hall,5,TRUE,Bear,BearVillage,TRUE,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villiage - Bear,5,TRUE,Bear,BearFactory,TRUE,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,0,1,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear,1,FALSE,Bear,PB,TRUE,2,2,,,,,,,,,,TRUE,1,1,1,,,,,TRUE,,,,,,,,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguin Town Hall,5,TRUE,Penguin,Igloo,TRUE,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villiage - Penguin,5,TRUE,Penguin,PenguinFactory,TRUE,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,0,1,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penguin,1,FALSE,Penguin,SPE,TRUE,1,3,,,,,,,,,,TRUE,1,1,0,,,,,TRUE,,,,,,,,TRUE,1,,,,,,,TRUE,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
